Date,High,Low,Open,Close,Volume,Adj Close,Return,Return(cum),TICKER
2020-12-01,123.47000122070312,120.01000213623047,121.01000213623047,122.72000122070312,127728200.0,122.32910919189453,0.030827367281542672,1.0308273672815427,AAPL
2020-12-02,123.37000274658203,120.88999938964844,122.0199966430664,123.08000183105469,89004200.0,122.68795776367188,0.0029335121151452537,1.0338513118520865,AAPL
2020-12-03,123.77999877929688,122.20999908447266,123.5199966430664,122.94000244140625,78967600.0,122.54840850830078,-0.0011374665873064016,1.0326753405286118,AAPL
2020-12-04,122.86000061035156,121.5199966430664,122.5999984741211,122.25,78260400.0,121.86061096191406,-0.005612513646525374,1.0268794360874647,AAPL
2020-12-07,124.56999969482422,122.25,122.30999755859375,123.75,86712000.0,123.35582733154297,0.012269938650306678,1.0394791837695194,AAPL
2020-12-08,124.9800033569336,123.08999633789062,124.37000274658203,124.37999725341797,82225500.0,123.98381805419922,0.005090886896306879,1.0447710547251554,AAPL
2020-12-09,125.94999694824219,121.0,124.52999877929688,121.77999877929688,115089200.0,121.39209747314453,-0.020903670457748325,1.0229315048933867,AAPL
2020-12-10,123.87000274658203,120.1500015258789,120.5,123.23999786376953,81312200.0,122.84745025634766,0.011988824922872787,1.0351952516136442,AAPL
2020-12-11,122.76000213623047,120.55000305175781,122.43000030517578,122.41000366210938,86939800.0,122.02009582519531,-0.00673477942264844,1.0282234399346533,AAPL
2020-12-14,123.3499984741211,121.54000091552734,122.5999984741211,121.77999877929688,79184500.0,121.39209747314453,-0.005146678081568545,1.0229315048933865,AAPL
2020-12-15,127.9000015258789,124.12999725341797,124.33999633789062,127.87999725341797,157243700.0,127.47266387939453,0.050090314791152,1.0741704659832831,AAPL
2020-12-16,128.3699951171875,126.55999755859375,127.41000366210938,127.80999755859375,98208600.0,127.40289306640625,-0.0005473858017489563,1.073582480321546,AAPL
2020-12-17,129.5800018310547,128.0399932861328,128.89999389648438,128.6999969482422,94359800.0,128.29005432128906,0.006963456745552543,1.081058325486048,AAPL
2020-12-18,129.10000610351562,126.12000274658203,128.9600067138672,126.66000366210938,192541500.0,126.25656127929688,-0.015850764059871847,1.0639227250338086,AAPL
2020-12-21,128.30999755859375,123.44999694824219,125.0199966430664,128.22999572753906,121251600.0,127.82154846191406,0.012395326227985448,1.07711039429197,AAPL
2020-12-22,134.41000366210938,129.64999389648438,131.61000061035156,131.8800048828125,168904800.0,131.45993041992188,0.028464550236973585,1.1077698572210601,AAPL
2020-12-23,132.42999267578125,130.77999877929688,132.16000366210938,130.9600067138672,88223700.0,130.54286193847656,-0.006976024680639181,1.1000420273566178,AAPL
2020-12-24,133.4600067138672,131.10000610351562,131.32000732421875,131.97000122070312,54930100.0,131.5496368408203,0.007712236217600754,1.1085258113208805,AAPL
2020-12-28,137.33999633789062,133.50999450683594,133.99000549316406,136.69000244140625,124486200.0,136.25460815429688,0.035765713245766495,1.1481730276141138,AAPL
2020-12-29,138.7899932861328,134.33999633789062,138.0500030517578,134.8699951171875,121047300.0,134.44039916992188,-0.013314853257091142,1.1328852722376819,AAPL
2020-12-30,135.99000549316406,133.39999389648438,135.5800018310547,133.72000122070312,96452100.0,133.2940673828125,-0.008526684497060733,1.1232255169499443,AAPL
2020-12-31,134.74000549316406,131.72000122070312,134.0800018310547,132.69000244140625,99116600.0,132.26734924316406,-0.007702653080273847,1.1145737004619676,AAPL
2021-01-04,133.61000061035156,126.76000213623047,133.52000427246094,129.41000366210938,143301900.0,128.997802734375,-0.024719260825586842,1.0870222624509087,AAPL
2021-01-05,131.74000549316406,128.42999267578125,128.88999938964844,131.00999450683594,97664900.0,130.5926971435547,0.01236373386484213,1.1004619164090104,AAPL
2021-01-06,131.0500030517578,126.37999725341797,127.72000122070312,126.5999984741211,155088000.0,126.19674682617188,-0.0336615236823381,1.0634186915482973,AAPL
2021-01-07,131.6300048828125,127.86000061035156,128.36000061035156,130.9199981689453,109578200.0,130.50299072265625,0.03412322074954277,1.0997059623091898,AAPL
